"state_name","within_none","within_primaryacute_only","within_compthromb"
"Arkansas",0.424532940979625,0.111917690879353,0.463549368141022
"Mississippi",0.315802137888523,0.396328584158755,0.287869277952723
"West Virginia",0.249917409437565,0.355579727786945,0.39450286277549
"Louisiana",0.18619841514944,0.460132942047622,0.353668642802937
"Alabama",0.182288166098225,0.448443296046291,0.369268537855484
"Missouri",0.140899045808303,0.190063352834992,0.669037601356705
"Kentucky",0.105009665840717,0.371807769971298,0.523182564187985
"Tennessee",0.0778028410207211,0.226781832349748,0.695415326629531
"Georgia",0.0628735834584131,0.318436579070297,0.61868983747129
"Illinois",0.0426854502402122,0.100658355204814,0.856656194554974
"Virginia",0.0386291199278701,0.285894268818485,0.675476611253645
"Ohio",0.0178238666543721,0.225957140028374,0.756218993317254
"North Carolina",0.0139100213601115,0.296179869875913,0.689910108763976
"Pennsylvania",0.0120263685003458,0.208083083491914,0.77989054800774
"South Carolina",0.0029685826925262,0.281748643015888,0.715282774291586
